"","FinalGroup","Min_NumPhage","Med_NumPhage","SD_NumPhage","Max_NumPhage","Min_PhagePercent","Med_PhagePerc","SD_PhagePercent","Max_PhagePercent","Min_BacLength","Med_BacLength","SD_BacLength","Max_BacLength","Min_PhageLength","Med_PhageLength","SD_PhageLength","Max_PhageLength"
"1","Bombella apis",1,1.5,1.16904519445001,4,1.35200989579056,1.43321895253475,1.89771216759349,6.11288804997563,1853237,2009499,76563.3547107666,2086297,10918,28774,7592.63322031177,36754
"2","Bartonella apis",1,1.5,0.547722557505166,2,0.968794066674561,1.52861729406055,0.695015489578385,2.85290495480493,2525262,2602147,134693.109326968,2907212,12730,30957,9632.51865788198,41673
"3","Bifidobacterium asteroides",0,0,0.492365963917331,1,0,0,0.88259897243057,2.1429142788317,1933421,2153761,88789.158286256,2245218,34318,37304,5350.8127108568,46614
"4","Bifidobacterium coryneforme",0,0.5,0.707106781186548,1,0,0.682391429569308,0.96504721454408,1.36478285913862,1749707,1752429,3849.48931677956,1755151,23954,23954,NA,23954
"5","Bifidobacterium indicum",1,1,NA,1,0.616532516187258,0.616532516187258,NA,0.616532516187258,1715238,1715238,NA,1715238,10575,10575,NA,10575
"6","Frischella perrara",1,1.5,0.707106781186548,2,0.64607537546047,1.06488004038039,0.592279237114872,1.48368470530031,2558525,2625438,94629.2720990709,2692351,14373,16530,5942.34098090419,25573
"7","Lactobacillus mellifer",0,0,NA,0,0,0,NA,0,1815047,1815047,NA,1815047,NA,NA,NA,NA
"8","Lactobacillus mellis",0,1,1.30384048104053,3,0,0.958958696126168,2.39207466314193,5.71458833399686,1683724,1743889,189265.740204613,2152631,6908,39127.5,17012.0585585637,44759
"9","Lactobacillus apis",0,0,0,0,0,0,0,0,1588648,1683102,66668.5098153544,1717379,NA,NA,NA,NA
"10","Lactobacillus helsingborgensis",0,0.5,0.707106781186548,1,0,0.41904273277236,0.592615915900557,0.838085465544721,1867232,1943743,108202.893870728,2020254,15649,15649,NA,15649
"11","Lactobacillus kimbladii",0,0,NA,0,0,0,NA,0,2186983,2186983,NA,2186983,NA,NA,NA,NA
"12","Lactobacillus kullabergensis",0,0.5,0.707106781186548,1,0,0.96850042815777,1.36966644066487,1.93700085631554,2018944,2068661,70310.4556805032,2118378,41033,41033,NA,41033
"13","Lactobacillus melliventris",1,1,0.577350269189626,2,1.78919179207911,1.81378578455753,1.2528055211572,3.97130706945994,2014626,2036181,53490.0996291214,2116151,35734,37201.5,4298.77629874673,45129
"14","Lactobacillus kunkeei",0,0.5,0.52704627669473,1,0,0.507586989525207,1.42777883508736,3.46319220177861,1484706,1559230,46588.7606914658,1614522,15995,43827,18890.5814812567,55914
"15","Gilliamella apis",0,1,0.877924249660694,3,0,0.821546846491317,0.940082021863097,3.63671972155492,1473857,2494021,223641.457119474,2685772,6211,21415.5,13110.1911718621,54549
"16","Gilliamella apicola",0,3,1.57866284776491,6,0,2.03766629621148,1.47391189141724,7.0094700471745,1808043,3033063.5,274827.496373694,3537173,5487,18683,16061.4314710412,119426
"17","Snodgrassella alvi",1,3,1.4640675398153,7,0.703482075853393,2.57672959556133,1.39555138462224,5.77769516580024,1307751,2430320.5,302488.430249907,2548535,5011,25380,13769.2200222313,79095
"18","Melissococcus plutonius",1,2,0.63593377383646,3,0.959169293815597,2.76559989006501,0.826551164452107,4.78948382905511,2021336,2068732,19558.599863239,2101145,18625,32632,15282.7723185221,73122
"19","Paenibacillus larvae",4,8,5.33012724146961,21,3.15294751351987,6.39587873984545,3.08175867814534,13.8463298780742,4033192,4378174,254939.533491566,4800872,5391,25754,27607.5243591338,188984
