"","FinalGroup","Min_NumPhage","Med_NumPhage","SD_NumPhage","Max_NumPhage","Min_PhagePercent","Med_PhagePerc","SD_PhagePercent","Max_PhagePercent","Min_BacLength","Med_BacLength","SD_BacLength","Max_BacLength","Min_PhageLength","Med_PhageLength","SD_PhageLength","Max_PhageLength"
"1","Bombella apis",0,0,0.516397779494322,1,0,0,0.79347881323655,1.64582622882691,1853237,2009499,76563.3547107666,2086297,29504,31306,2548.41283939632,33108
"2","Bartonella apis",0,0,0.408248290463863,1,0,0,0.658869426464117,1.61389390195729,2525262,2602147,134693.109326968,2907212,41673,41673,NA,41673
"3","Bifidobacterium asteroides",0,0,0.452267016866645,1,0,0,0.84361193123924,2.1429142788317,1933421,2153761,88789.158286256,2245218,36917,37691,5389.04465868797,46614
"4","Bifidobacterium coryneforme",0,0,0,0,0,0,0,0,1749707,1752429,3849.48931677956,1755151,NA,NA,NA,NA
"5","Bifidobacterium indicum",0,0,NA,0,0,0,NA,0,1715238,1715238,NA,1715238,NA,NA,NA,NA
"6","Frischella perrara",0,0,0,0,0,0,0,0,2558525,2625438,94629.2720990709,2692351,NA,NA,NA,NA
"7","Lactobacillus mellifer",0,0,NA,0,0,0,NA,0,1815047,1815047,NA,1815047,NA,NA,NA,NA
"8","Lactobacillus mellis",0,0,0.447213595499958,1,0,0,0.929877592628863,2.07926950787199,1683724,1743889,189265.740204613,2152631,44759,44759,NA,44759
"9","Lactobacillus apis",0,0,0,0,0,0,0,0,1588648,1683102,66668.5098153544,1717379,NA,NA,NA,NA
"10","Lactobacillus helsingborgensis",0,0,0,0,0,0,0,0,1867232,1943743,108202.893870728,2020254,NA,NA,NA,NA
"11","Lactobacillus kimbladii",0,0,NA,0,0,0,NA,0,2186983,2186983,NA,2186983,NA,NA,NA,NA
"12","Lactobacillus kullabergensis",0,0.5,0.707106781186548,1,0,0.96850042815777,1.36966644066487,1.93700085631554,2018944,2068661,70310.4556805032,2118378,41033,41033,NA,41033
"13","Lactobacillus melliventris",1,1,0.577350269189626,2,1.78919179207911,1.81378578455753,1.2528055211572,3.97130706945994,2014626,2036181,53490.0996291214,2116151,35734,37201.5,4298.77629874673,45129
"14","Lactobacillus kunkeei",0,0,0.483045891539648,1,0,0,1.50870506952109,3.46319220177861,1484706,1559230,46588.7606914658,1614522,43827,49369,6050.4319129574,55914
"15","Gilliamella apis",0,0,0.572768051751073,2,0,0,0.815268123928388,2.92221379923538,1473857,2494021,223641.457119474,2685772,23935,29623,12251.8934046946,54549
"16","Gilliamella apicola",0,1,1.09440579303534,5,0,0.885722582436518,1.30882815910049,5.54491357454931,1808043,3033063.5,274827.496373694,3537173,7557,27817,18546.0571770914,119426
"17","Snodgrassella alvi",0,1,0.603761235285532,2,0,1.15772724536664,1.08867139868787,3.48429436295212,1307751,2430320.5,302488.430249907,2548535,26794,40107,10828.2851823581,79095
"18","Melissococcus plutonius",0,1,0.353553390593274,2,0,1.70575302671105,0.973048640010416,3.81801351168054,2021336,2068732,19558.599863239,2101145,31444,37549,14446.3735287564,73122
"19","Paenibacillus larvae",2,4,1.98390963400489,9,1.10767033561883,4.57240831790985,3.10221002234273,11.4582989870925,4033192,4378174,254939.533491566,4800872,14060,45428.5,28512.4209105113,188984
