protein	phage_seq	prot_num
AARF01000085.1||full__00001	AARF01000085.1||full	1
AARF01000085.1||full__00002	AARF01000085.1||full	2
AARF01000085.1||full__00003	AARF01000085.1||full	3
AARF01000085.1||full__00004	AARF01000085.1||full	4
AARF01000085.1||full__00005	AARF01000085.1||full	5
AARF01000085.1||full__00006	AARF01000085.1||full	6
AARF01000085.1||full__00007	AARF01000085.1||full	7
AARF01000085.1||full__00008	AARF01000085.1||full	8
AARF01000085.1||full__00009	AARF01000085.1||full	9
AARF01000085.1||full__00010	AARF01000085.1||full	10
AARF01000119.1||full__00001	AARF01000119.1||full	1
AARF01000119.1||full__00002	AARF01000119.1||full	2
AARF01000119.1||full__00003	AARF01000119.1||full	3
AARF01000119.1||full__00004	AARF01000119.1||full	4
AARF01000119.1||full__00005	AARF01000119.1||full	5
AARF01000119.1||full__00006	AARF01000119.1||full	6
AARF01000119.1||full__00007	AARF01000119.1||full	7
AARF01000119.1||full__00008	AARF01000119.1||full	8
AARF01000119.1||full__00009	AARF01000119.1||full	9
AARF01000119.1||full__00010	AARF01000119.1||full	10
AARF01000119.1||full__00011	AARF01000119.1||full	11
AARF01000119.1||full__00012	AARF01000119.1||full	12
AARF01000119.1||full__00013	AARF01000119.1||full	13
AARF01000119.1||full__00014	AARF01000119.1||full	14
AARF01000119.1||full__00015	AARF01000119.1||full	15
AARF01000119.1||full__00016	AARF01000119.1||full	16
AARF01000119.1||full__00017	AARF01000119.1||full	17
AARF01000119.1||full__00018	AARF01000119.1||full	18
AARF01000119.1||full__00019	AARF01000119.1||full	19
AARF01000119.1||full__00020	AARF01000119.1||full	20
AARF01000119.1||full__00021	AARF01000119.1||full	21
AARF01000119.1||full__00022	AARF01000119.1||full	22
AARF01000119.1||full__00023	AARF01000119.1||full	23
AARF01000119.1||full__00024	AARF01000119.1||full	24
AARF01000119.1||full__00025	AARF01000119.1||full	25
AARF01000119.1||full__00026	AARF01000119.1||full	26
AARF01000119.1||full__00027	AARF01000119.1||full	27
AARF01000119.1||full__00028	AARF01000119.1||full	28
AARF01000119.1||full__00029	AARF01000119.1||full	29
AARF01000119.1||full__00030	AARF01000119.1||full	30
AARF01000119.1||full__00031	AARF01000119.1||full	31
AARF01000119.1||full__00032	AARF01000119.1||full	32
AARF01000119.1||full__00033	AARF01000119.1||full	33
AARF01000119.1||full__00034	AARF01000119.1||full	34
AARF01000123.1||full__00001	AARF01000123.1||full	1
AARF01000123.1||full__00002	AARF01000123.1||full	2
AARF01000123.1||full__00003	AARF01000123.1||full	3
AARF01000123.1||full__00004	AARF01000123.1||full	4
AARF01000123.1||full__00005	AARF01000123.1||full	5
AARF01000123.1||full__00006	AARF01000123.1||full	6
AARF01000123.1||full__00007	AARF01000123.1||full	7
AARF01000123.1||full__00008	AARF01000123.1||full	8
AARF01000123.1||full__00009	AARF01000123.1||full	9
AARF01000123.1||full__00010	AARF01000123.1||full	10
AARF01000123.1||full__00011	AARF01000123.1||full	11
AARF01000123.1||full__00012	AARF01000123.1||full	12
AARF01000123.1||full__00013	AARF01000123.1||full	13
AARF01000123.1||full__00014	AARF01000123.1||full	14
AARF01000123.1||full__00015	AARF01000123.1||full	15
AARF01000123.1||full__00016	AARF01000123.1||full	16
AARF01000123.1||full__00017	AARF01000123.1||full	17
AARF01000123.1||full__00018	AARF01000123.1||full	18
AARF01000123.1||full__00019	AARF01000123.1||full	19
AARF01000123.1||full__00020	AARF01000123.1||full	20
AARF01000123.1||full__00021	AARF01000123.1||full	21
AARF01000123.1||full__00022	AARF01000123.1||full	22
AARF01000123.1||full__00023	AARF01000123.1||full	23
AARF01000123.1||full__00024	AARF01000123.1||full	24
AARF01000247.1||full__00001	AARF01000247.1||full	1
AARF01000247.1||full__00002	AARF01000247.1||full	2
AARF01000247.1||full__00003	AARF01000247.1||full	3
AARF01000247.1||full__00004	AARF01000247.1||full	4
AARF01000247.1||full__00005	AARF01000247.1||full	5
AARF01000247.1||full__00006	AARF01000247.1||full	6
AARF01000247.1||full__00007	AARF01000247.1||full	7
AARF01000247.1||full__00008	AARF01000247.1||full	8
AARF01000247.1||full__00009	AARF01000247.1||full	9
AARF01000247.1||full__00010	AARF01000247.1||full	10
AARF01000247.1||full__00011	AARF01000247.1||full	11
ADFW01000001.1||0_partial_1__00001	ADFW01000001.1||0_partial_1	1
ADFW01000001.1||0_partial_1__00002	ADFW01000001.1||0_partial_1	2
ADFW01000001.1||0_partial_1__00003	ADFW01000001.1||0_partial_1	3
