CP015625.1,BaApis_BBC0122.fna
CP015820.1,BaApis_BBC0178.fna
CP015821.1,BaApis_BBC0244.fna
LXYU01000009.1,BaApis_PEB0122.fna
LXYU01000010.1,BaApis_PEB0122.fna
LXYU01000011.1,BaApis_PEB0122.fna
LXYU01000012.1,BaApis_PEB0122.fna
LXYU01000013.1,BaApis_PEB0122.fna
LXYU01000001.1,BaApis_PEB0122.fna
LXYU01000014.1,BaApis_PEB0122.fna
LXYU01000015.1,BaApis_PEB0122.fna
LXYU01000016.1,BaApis_PEB0122.fna
LXYU01000002.1,BaApis_PEB0122.fna
LXYU01000003.1,BaApis_PEB0122.fna
LXYU01000004.1,BaApis_PEB0122.fna
LXYU01000005.1,BaApis_PEB0122.fna
LXYU01000006.1,BaApis_PEB0122.fna
LXYU01000007.1,BaApis_PEB0122.fna
LXYU01000008.1,BaApis_PEB0122.fna
LXYT01000007.1,BaApis_PEB0149.fna
LXYT01000001.1,BaApis_PEB0149.fna
LXYT01000002.1,BaApis_PEB0149.fna
LXYT01000003.1,BaApis_PEB0149.fna
LXYT01000004.1,BaApis_PEB0149.fna
LXYT01000005.1,BaApis_PEB0149.fna
LXYT01000006.1,BaApis_PEB0149.fna
LXYS01000009.1,BaApis_PEB0150.fna
LXYS01000001.1,BaApis_PEB0150.fna
LXYS01000010.1,BaApis_PEB0150.fna
LXYS01000002.1,BaApis_PEB0150.fna
LXYS01000011.1,BaApis_PEB0150.fna
LXYS01000003.1,BaApis_PEB0150.fna
LXYS01000012.1,BaApis_PEB0150.fna
LXYS01000004.1,BaApis_PEB0150.fna
LXYS01000005.1,BaApis_PEB0150.fna
LXYS01000006.1,BaApis_PEB0150.fna
LXYS01000007.1,BaApis_PEB0150.fna
LXYS01000008.1,BaApis_PEB0150.fna
PCHJ01000001.1,BiAsteroides_1460B.fna
PCHJ01000010.1,BiAsteroides_1460B.fna
PCHJ01000011.1,BiAsteroides_1460B.fna
PCHJ01000012.1,BiAsteroides_1460B.fna
PCHJ01000013.1,BiAsteroides_1460B.fna
PCHJ01000014.1,BiAsteroides_1460B.fna
PCHJ01000015.1,BiAsteroides_1460B.fna
PCHJ01000016.1,BiAsteroides_1460B.fna
PCHJ01000017.1,BiAsteroides_1460B.fna
PCHJ01000018.1,BiAsteroides_1460B.fna
PCHJ01000019.1,BiAsteroides_1460B.fna
PCHJ01000002.1,BiAsteroides_1460B.fna
PCHJ01000020.1,BiAsteroides_1460B.fna
PCHJ01000021.1,BiAsteroides_1460B.fna
PCHJ01000022.1,BiAsteroides_1460B.fna
PCHJ01000023.1,BiAsteroides_1460B.fna
PCHJ01000024.1,BiAsteroides_1460B.fna
PCHJ01000025.1,BiAsteroides_1460B.fna
PCHJ01000026.1,BiAsteroides_1460B.fna
PCHJ01000027.1,BiAsteroides_1460B.fna
PCHJ01000028.1,BiAsteroides_1460B.fna
PCHJ01000029.1,BiAsteroides_1460B.fna
PCHJ01000003.1,BiAsteroides_1460B.fna
PCHJ01000030.1,BiAsteroides_1460B.fna
PCHJ01000031.1,BiAsteroides_1460B.fna
PCHJ01000032.1,BiAsteroides_1460B.fna
PCHJ01000033.1,BiAsteroides_1460B.fna
PCHJ01000034.1,BiAsteroides_1460B.fna
PCHJ01000035.1,BiAsteroides_1460B.fna
PCHJ01000036.1,BiAsteroides_1460B.fna
PCHJ01000037.1,BiAsteroides_1460B.fna
PCHJ01000038.1,BiAsteroides_1460B.fna
PCHJ01000004.1,BiAsteroides_1460B.fna
PCHJ01000005.1,BiAsteroides_1460B.fna
PCHJ01000006.1,BiAsteroides_1460B.fna
PCHJ01000007.1,BiAsteroides_1460B.fna
PCHJ01000008.1,BiAsteroides_1460B.fna
PCHJ01000009.1,BiAsteroides_1460B.fna
KQ033855.1,BiAsteroides_Bin2.fna
KQ033856.1,BiAsteroides_Bin2.fna
KQ033857.1,BiAsteroides_Bin2.fna
KQ033858.1,BiAsteroides_Bin2.fna
KQ033859.1,BiAsteroides_Bin2.fna
KQ033860.1,BiAsteroides_Bin2.fna
KQ033861.1,BiAsteroides_Bin2.fna
KQ033862.1,BiAsteroides_Bin2.fna
KQ033863.1,BiAsteroides_Bin2.fna
KQ033884.1,BiAsteroides_Bin7.fna
KQ033885.1,BiAsteroides_Bin7.fna
KQ033886.1,BiAsteroides_Bin7.fna
KQ033887.1,BiAsteroides_Bin7.fna
KQ033888.1,BiAsteroides_Bin7.fna
KQ033889.1,BiAsteroides_Bin7.fna
JDTU01000001.1,BiAsteroides_DSM20089.fna
JDTU01000010.1,BiAsteroides_DSM20089.fna
JDTU01000100.1,BiAsteroides_DSM20089.fna
JDTU01000101.1,BiAsteroides_DSM20089.fna
JDTU01000102.1,BiAsteroides_DSM20089.fna
JDTU01000103.1,BiAsteroides_DSM20089.fna
JDTU01000104.1,BiAsteroides_DSM20089.fna
JDTU01000105.1,BiAsteroides_DSM20089.fna
JDTU01000106.1,BiAsteroides_DSM20089.fna
JDTU01000107.1,BiAsteroides_DSM20089.fna
JDTU01000108.1,BiAsteroides_DSM20089.fna
JDTU01000109.1,BiAsteroides_DSM20089.fna
JDTU01000011.1,BiAsteroides_DSM20089.fna
JDTU01000110.1,BiAsteroides_DSM20089.fna
JDTU01000111.1,BiAsteroides_DSM20089.fna
JDTU01000112.1,BiAsteroides_DSM20089.fna
JDTU01000113.1,BiAsteroides_DSM20089.fna
JDTU01000114.1,BiAsteroides_DSM20089.fna
JDTU01000115.1,BiAsteroides_DSM20089.fna
JDTU01000012.1,BiAsteroides_DSM20089.fna
JDTU01000013.1,BiAsteroides_DSM20089.fna
JDTU01000014.1,BiAsteroides_DSM20089.fna
JDTU01000015.1,BiAsteroides_DSM20089.fna
JDTU01000016.1,BiAsteroides_DSM20089.fna
JDTU01000017.1,BiAsteroides_DSM20089.fna
JDTU01000018.1,BiAsteroides_DSM20089.fna
JDTU01000019.1,BiAsteroides_DSM20089.fna
JDTU01000002.1,BiAsteroides_DSM20089.fna
JDTU01000020.1,BiAsteroides_DSM20089.fna
JDTU01000021.1,BiAsteroides_DSM20089.fna
JDTU01000022.1,BiAsteroides_DSM20089.fna
JDTU01000023.1,BiAsteroides_DSM20089.fna
JDTU01000024.1,BiAsteroides_DSM20089.fna
JDTU01000025.1,BiAsteroides_DSM20089.fna
JDTU01000026.1,BiAsteroides_DSM20089.fna
JDTU01000027.1,BiAsteroides_DSM20089.fna
JDTU01000028.1,BiAsteroides_DSM20089.fna
JDTU01000029.1,BiAsteroides_DSM20089.fna
JDTU01000003.1,BiAsteroides_DSM20089.fna
JDTU01000030.1,BiAsteroides_DSM20089.fna
JDTU01000031.1,BiAsteroides_DSM20089.fna
JDTU01000032.1,BiAsteroides_DSM20089.fna
JDTU01000033.1,BiAsteroides_DSM20089.fna
JDTU01000034.1,BiAsteroides_DSM20089.fna
JDTU01000035.1,BiAsteroides_DSM20089.fna
JDTU01000036.1,BiAsteroides_DSM20089.fna
JDTU01000037.1,BiAsteroides_DSM20089.fna
JDTU01000038.1,BiAsteroides_DSM20089.fna
JDTU01000039.1,BiAsteroides_DSM20089.fna
JDTU01000004.1,BiAsteroides_DSM20089.fna
JDTU01000040.1,BiAsteroides_DSM20089.fna
JDTU01000041.1,BiAsteroides_DSM20089.fna
JDTU01000042.1,BiAsteroides_DSM20089.fna
JDTU01000043.1,BiAsteroides_DSM20089.fna
JDTU01000044.1,BiAsteroides_DSM20089.fna
JDTU01000045.1,BiAsteroides_DSM20089.fna
JDTU01000046.1,BiAsteroides_DSM20089.fna
JDTU01000047.1,BiAsteroides_DSM20089.fna
JDTU01000048.1,BiAsteroides_DSM20089.fna
JDTU01000049.1,BiAsteroides_DSM20089.fna
JDTU01000005.1,BiAsteroides_DSM20089.fna
JDTU01000050.1,BiAsteroides_DSM20089.fna
JDTU01000051.1,BiAsteroides_DSM20089.fna
JDTU01000052.1,BiAsteroides_DSM20089.fna
JDTU01000053.1,BiAsteroides_DSM20089.fna
JDTU01000054.1,BiAsteroides_DSM20089.fna
JDTU01000055.1,BiAsteroides_DSM20089.fna
JDTU01000056.1,BiAsteroides_DSM20089.fna
JDTU01000057.1,BiAsteroides_DSM20089.fna
JDTU01000058.1,BiAsteroides_DSM20089.fna
JDTU01000059.1,BiAsteroides_DSM20089.fna
JDTU01000006.1,BiAsteroides_DSM20089.fna
JDTU01000060.1,BiAsteroides_DSM20089.fna
JDTU01000061.1,BiAsteroides_DSM20089.fna
JDTU01000062.1,BiAsteroides_DSM20089.fna
JDTU01000063.1,BiAsteroides_DSM20089.fna
JDTU01000064.1,BiAsteroides_DSM20089.fna
JDTU01000065.1,BiAsteroides_DSM20089.fna
JDTU01000066.1,BiAsteroides_DSM20089.fna
JDTU01000067.1,BiAsteroides_DSM20089.fna
JDTU01000068.1,BiAsteroides_DSM20089.fna
JDTU01000069.1,BiAsteroides_DSM20089.fna
JDTU01000007.1,BiAsteroides_DSM20089.fna
JDTU01000070.1,BiAsteroides_DSM20089.fna
JDTU01000071.1,BiAsteroides_DSM20089.fna
JDTU01000072.1,BiAsteroides_DSM20089.fna
JDTU01000073.1,BiAsteroides_DSM20089.fna
JDTU01000074.1,BiAsteroides_DSM20089.fna
JDTU01000075.1,BiAsteroides_DSM20089.fna
JDTU01000076.1,BiAsteroides_DSM20089.fna
JDTU01000077.1,BiAsteroides_DSM20089.fna
JDTU01000078.1,BiAsteroides_DSM20089.fna
JDTU01000079.1,BiAsteroides_DSM20089.fna
JDTU01000008.1,BiAsteroides_DSM20089.fna
JDTU01000080.1,BiAsteroides_DSM20089.fna
JDTU01000081.1,BiAsteroides_DSM20089.fna
JDTU01000082.1,BiAsteroides_DSM20089.fna
JDTU01000083.1,BiAsteroides_DSM20089.fna
JDTU01000084.1,BiAsteroides_DSM20089.fna
JDTU01000085.1,BiAsteroides_DSM20089.fna
JDTU01000086.1,BiAsteroides_DSM20089.fna
JDTU01000087.1,BiAsteroides_DSM20089.fna
JDTU01000088.1,BiAsteroides_DSM20089.fna
JDTU01000089.1,BiAsteroides_DSM20089.fna
JDTU01000009.1,BiAsteroides_DSM20089.fna
JDTU01000090.1,BiAsteroides_DSM20089.fna
JDTU01000091.1,BiAsteroides_DSM20089.fna
JDTU01000092.1,BiAsteroides_DSM20089.fna
JDTU01000093.1,BiAsteroides_DSM20089.fna
JDTU01000094.1,BiAsteroides_DSM20089.fna
JDTU01000095.1,BiAsteroides_DSM20089.fna
JDTU01000096.1,BiAsteroides_DSM20089.fna
JDTU01000097.1,BiAsteroides_DSM20089.fna
JDTU01000098.1,BiAsteroides_DSM20089.fna
JDTU01000099.1,BiAsteroides_DSM20089.fna
CP017696.1,BiAsteroides_DSM20089_2.fna
QGLH01000001.1,BiAsteroides_ESL0170.fna
QGLH01000002.1,BiAsteroides_ESL0170.fna
QGLH01000003.1,BiAsteroides_ESL0170.fna
QGLH01000004.1,BiAsteroides_ESL0170.fna
QGLH01000005.1,BiAsteroides_ESL0170.fna
QGLH01000006.1,BiAsteroides_ESL0170.fna
QGLH01000007.1,BiAsteroides_ESL0170.fna
QGLJ01000001.1,BiAsteroides_ESL0198.fna
QGLJ01000002.1,BiAsteroides_ESL0198.fna
QGLJ01000003.1,BiAsteroides_ESL0198.fna
QGLJ01000004.1,BiAsteroides_ESL0198.fna
QGLJ01000005.1,BiAsteroides_ESL0198.fna
QGLJ01000006.1,BiAsteroides_ESL0198.fna
QGLJ01000007.1,BiAsteroides_ESL0198.fna
QGLJ01000008.1,BiAsteroides_ESL0198.fna
QGLJ01000009.1,BiAsteroides_ESL0198.fna
QGLJ01000010.1,BiAsteroides_ESL0198.fna
QGLJ01000011.1,BiAsteroides_ESL0198.fna
QGLJ01000012.1,BiAsteroides_ESL0198.fna
QGLK01000001.1,BiAsteroides_ESL0199.fna
QGLK01000002.1,BiAsteroides_ESL0199.fna
QGLK01000003.1,BiAsteroides_ESL0199.fna
QGLK01000004.1,BiAsteroides_ESL0199.fna
QGLK01000005.1,BiAsteroides_ESL0199.fna
QGLK01000006.1,BiAsteroides_ESL0199.fna
QGLK01000007.1,BiAsteroides_ESL0199.fna
QGLL01000001.1,BiAsteroides_ESL0200.fna
QGLL01000002.1,BiAsteroides_ESL0200.fna
QGLL01000003.1,BiAsteroides_ESL0200.fna
QGLL01000004.1,BiAsteroides_ESL0200.fna
QGLL01000005.1,BiAsteroides_ESL0200.fna
QGLL01000006.1,BiAsteroides_ESL0200.fna
QGLL01000007.1,BiAsteroides_ESL0200.fna
QGLL01000008.1,BiAsteroides_ESL0200.fna
QGLL01000009.1,BiAsteroides_ESL0200.fna
QGLL01000010.1,BiAsteroides_ESL0200.fna
QGLL01000011.1,BiAsteroides_ESL0200.fna
QGLL01000012.1,BiAsteroides_ESL0200.fna
QGLL01000013.1,BiAsteroides_ESL0200.fna
QGLL01000014.1,BiAsteroides_ESL0200.fna
QGLL01000015.1,BiAsteroides_ESL0200.fna
QGLL01000016.1,BiAsteroides_ESL0200.fna
KQ034044.1,BiAsteroides_Hma3.fna
KQ034045.1,BiAsteroides_Hma3.fna
KQ034039.1,BiAsteroides_Hma3.fna
KQ034040.1,BiAsteroides_Hma3.fna
KQ034041.1,BiAsteroides_Hma3.fna
KQ034042.1,BiAsteroides_Hma3.fna
KQ034043.1,BiAsteroides_Hma3.fna
CP003325.1,BiAsteroides_PRL2011.fna
WKKW01000001.1,BiAsteroides_VRA9sqn.fna
WKKW01000002.1,BiAsteroides_VRA9sqn.fna
WKKW01000003.1,BiAsteroides_VRA9sqn.fna
WKKW01000004.1,BiAsteroides_VRA9sqn.fna
WKKW01000005.1,BiAsteroides_VRA9sqn.fna
WKKW01000006.1,BiAsteroides_VRA9sqn.fna
WKKW01000007.1,BiAsteroides_VRA9sqn.fna
WKKW01000008.1,BiAsteroides_VRA9sqn.fna
WKKW01000009.1,BiAsteroides_VRA9sqn.fna
WKKW01000010.1,BiAsteroides_VRA9sqn.fna
WKKW01000011.1,BiAsteroides_VRA9sqn.fna
WKKW01000012.1,BiAsteroides_VRA9sqn.fna
WKKW01000013.1,BiAsteroides_VRA9sqn.fna
WKKW01000014.1,BiAsteroides_VRA9sqn.fna
WKKW01000015.1,BiAsteroides_VRA9sqn.fna
WKKW01000016.1,BiAsteroides_VRA9sqn.fna
WKKW01000017.1,BiAsteroides_VRA9sqn.fna
VMHK01000009.1,BiAsteroides_W8102.fna
VMHK01000010.1,BiAsteroides_W8102.fna
VMHK01000011.1,BiAsteroides_W8102.fna
VMHK01000012.1,BiAsteroides_W8102.fna
VMHK01000013.1,BiAsteroides_W8102.fna
VMHK01000001.1,BiAsteroides_W8102.fna
VMHK01000002.1,BiAsteroides_W8102.fna
VMHK01000003.1,BiAsteroides_W8102.fna
VMHK01000004.1,BiAsteroides_W8102.fna
VMHK01000014.1,BiAsteroides_W8102.fna
VMHK01000005.1,BiAsteroides_W8102.fna
VMHK01000006.1,BiAsteroides_W8102.fna
VMHK01000007.1,BiAsteroides_W8102.fna
VMHK01000008.1,BiAsteroides_W8102.fna
VMHJ01000009.1,BiAsteroides_W8111.fna
VMHJ01000001.1,BiAsteroides_W8111.fna
VMHJ01000002.1,BiAsteroides_W8111.fna
VMHJ01000003.1,BiAsteroides_W8111.fna
VMHJ01000004.1,BiAsteroides_W8111.fna
VMHJ01000005.1,BiAsteroides_W8111.fna
VMHJ01000006.1,BiAsteroides_W8111.fna
VMHJ01000007.1,BiAsteroides_W8111.fna
VMHJ01000008.1,BiAsteroides_W8111.fna
KQ033864.1,BiCoryneforme_Bma6.fna
KQ033865.1,BiCoryneforme_Bma6.fna
KQ033866.1,BiCoryneforme_Bma6.fna
KQ033867.1,BiCoryneforme_Bma6.fna
KQ033868.1,BiCoryneforme_Bma6.fna
KQ033869.1,BiCoryneforme_Bma6.fna
JDUF01000001.1,BiCoryneforme_DSM20216.fna
JDUF01000010.1,BiCoryneforme_DSM20216.fna
JDUF01000011.1,BiCoryneforme_DSM20216.fna
JDUF01000012.1,BiCoryneforme_DSM20216.fna
JDUF01000013.1,BiCoryneforme_DSM20216.fna
JDUF01000014.1,BiCoryneforme_DSM20216.fna
JDUF01000015.1,BiCoryneforme_DSM20216.fna
JDUF01000016.1,BiCoryneforme_DSM20216.fna
JDUF01000017.1,BiCoryneforme_DSM20216.fna
JDUF01000018.1,BiCoryneforme_DSM20216.fna
JDUF01000019.1,BiCoryneforme_DSM20216.fna
JDUF01000002.1,BiCoryneforme_DSM20216.fna
