"","FNA.name","GenandSpec","Relationship","Phylotype","FinalGroup","hb","GCPercent","Size","phage_seqname","max_score","max_score_group","length.checkv","hallmark","rd","phage.filt","checkv.trimmed","checkv.split","checkv.contigs","vib.frag.count"
"1","BaApis_BBC0122.fna","Bartonella apis","Core","Bartonella apis","Bartonella apis","from_hb","45.65",2907212,"CP015625.1||0_partial_1","0.9","dsDNAphage","41474","4","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"2","BaApis_BBC0122.fna","Bartonella apis","Core","Bartonella apis","Bartonella apis","from_hb","45.65",2907212,"CP015625.1||1_partial","0.973","dsDNAphage","19690","1","rd1","phage_pass","same_as_vs2","no","1","NA"
"3","BaApis_BBC0178.fna","Bartonella apis","Core","Bartonella apis","Bartonella apis","from_hb","45.34",2601172,"CP015820.1||0_partial_1","0.947","dsDNAphage","25200","4","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"4","BaApis_BBC0244.fna","Bartonella apis","Core","Bartonella apis","Bartonella apis","from_hb","45.21",2643257,"CP015821.1||0_partial_1","0.9","dsDNAphage","36450","4","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"5","BaApis_PEB0122.fna","Bartonella apis","Core","Bartonella apis","Bartonella apis","from_hb","45.45",2603122,"LXYU01000005.1||full","0.507","dsDNAphage","12730","0","rd2","phage_pass","same_as_vs2","no","1","1"
"6","BaApis_PEB0122.fna","Bartonella apis","Core","Bartonella apis","Bartonella apis","from_hb","45.45",2603122,"LXYU01000003.1||0_partial_1","0.92","dsDNAphage","30957","5","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"7","BaApis_PEB0149.fna","Bartonella apis","Core","Bartonella apis","Bartonella apis","from_hb","45.51",2525262,"LXYT01000001.1||0_partial_1","0.887","dsDNAphage","29444","4","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"8","BaApis_PEB0150.fna","Bartonella apis","Core","Bartonella apis","Bartonella apis","from_hb","45.55",2582140,"LXYS01000002.1||0_partial_1","0.94","dsDNAphage","31993","4","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"9","BaApis_PEB0150.fna","Bartonella apis","Core","Bartonella apis","Bartonella apis","from_hb","45.55",2582140,"LXYS01000004.1||0_partial_1","0.9","dsDNAphage","41673","11","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"10","BiAsteroides_1460B.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","60.46",2121817,"no_phage","NA","NA","NA","NA","NA","no_phage","NA","NA","NA","NA"
"11","BiAsteroides_Bin2.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","60.44",2094785,"no_phage","NA","NA","NA","NA","NA","no_phage","NA","NA","NA","NA"
"12","BiAsteroides_Bin7.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","60.46",2132390,"no_phage","NA","NA","NA","NA","NA","no_phage","NA","NA","NA","NA"
"13","BiAsteroides_DSM20089_2.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","60.01",2190368,"no_phage","NA","NA","NA","NA","NA","no_phage","NA","NA","NA","NA"
