input_vs2	checkv_name	length.checkv
AGFR01000005.1||full	AGFR01000005.1||full_1	32626
JOPB01000048.1||full	JOPB01000048.1||full_1	4555
QGLT01000007.1||full	QGLT01000007.1||full_1	4525
WNID01000009.1||full	WNID01000009.1||full_1	21055
WNIE01000002.1||full	WNIE01000002.1||full_1	6300
WNIE01000007.1||full	WNIE01000007.1||full_1	3255
WNIE01000009.1||full	WNIE01000009.1||full_1	20983
WNIG01000002.1||full	WNIG01000002.1||full_1	6251
WNIG01000008.1||full	WNIG01000008.1||full_1	20871
WNII01000003.1||full	WNII01000003.1||full_1	5073
WNIL01000002.1||full	WNIL01000002.1||full_1	5702
WNIL01000007.1||full	WNIL01000007.1||full_1	22079
WNIM01000003.1||full	WNIM01000003.1||full_1	6252
WNIM01000009.1||full	WNIM01000009.1||full_1	19599
ATSX01000006.1||full	ATSX01000006.1||full_1	5885
QGTI01000020.1||full	QGTI01000020.1||full_1	23354
NARO01000026.1||full	NARO01000026.1||full_1	14087
MZNE01000010.1||full	MZNE01000010.1||full_1	20592
MZNE01000129.1||full	MZNE01000129.1||full_1	372
MZNE01000019.1||full	MZNE01000019.1||full_1	27817
MZNE01000041.1||full	MZNE01000041.1||full_1	21700
MZNF01000106.1||full	MZNF01000106.1||full_1	1802
MZNF01000018.1||full	MZNF01000018.1||full_1	21700
MZNF01000023.1||full	MZNF01000023.1||full_1	27817
MZNF01000031.1||full	MZNF01000031.1||full_1	20605
MZNF01000033.1||full	MZNF01000033.1||full_1	28522
NARP01000024.1||full	NARP01000024.1||full_1	27183
NARP01000033.1||full	NARP01000033.1||full_1	28522
NARP01000068.1||full	NARP01000068.1||full_1	1802
NARQ01000038.1||full	NARQ01000038.1||full_1	4400
NARR01000013.1||full	NARR01000013.1||full_1	46517
NARR01000021.1||full	NARR01000021.1||full_1	27744
NART01000153.1||full	NART01000153.1||full_1	1802
NART01000016.1||full	NART01000016.1||full_1	27183
NART01000007.1||full	NART01000007.1||full_1	21883
NART01000009.1||full	NART01000009.1||full_1	20605
NARX01000053.1||full	NARX01000053.1||full_1	4931
NARU01000018.1||full	NARU01000018.1||full_1	21700
NARU01000240.1||full	NARU01000240.1||full_1	1802
NARU01000244.1||full	NARU01000244.1||full_1	728
