FNA File,Organism_BS,Organism_AS,Filename_BS,Filename_AS,Assembly-name_AS,Strain_AS,Taxid_AS,BioSample_AS,BioProject_AS,Submitter_AS,Date_AS,Assembly-type_AS,Release-type_AS,Assembly-level_AS,Genome-representation_AS,Assembly-method_AS,Genome-coverage_AS,Sequencing-technology_AS,RefSeq-category_AS,GenBank-assembly-accession_AS,RefSeq-assembly-accession_AS,RefSeq-assembly-and-GenBank-assemblies-identical_AS,BioSample_BS,SampleName_BS,SRA_BS,/strain_BS,/collection-date_BS,/broad-scale-environmental-context_BS,/local-scale-environmental-context_BS,/environmental-medium_BS,/geographic-location_BS,/host_BS,/isolation-and-growth-condition_BS,/latitude-and-longitude_BS,/number-of-replicons_BS,/reference-for-biomaterial_BS,WGS-project_AS,Expected-final-version_AS,Relation-to-type-material_AS,/type-material_BS,/isolation-source_BS,/collected-by_BS,/sample-type_BS,/culture-collection_BS,/biomaterial-provider_BS,/Assembly-Method_BS,/Assembly-Name_BS,/Genome-Coverage_BS,/Sequencing-Technology_BS,/identified-by_BS,/host-disease_BS,Isolate_AS,Excluded-from-RefSeq_AS,/enviironmental-sample_BS,/metagenomic_BS,/isolate_BS,/note_BS,Single-cell-amplification_AS,/investigation-type_BS,/project-name_BS,/environmental-package_BS,/host-tissue-sampled_BS,/sample-name_BS,/estimated-size_BS,/locus_tag_prefix_BS,/altitude_BS,/temperature_BS,/Host-health_BS,/host-description_BS,/Alias_BS,/Broker-name_BS,/ENA-checklist_BS,/INSDC-center-alias_BS,/INSDC-center-name_BS,/INSDC-first-public_BS,/INSDC-last-update_BS,/INSDC-status_BS,/SRA-accession_BS,/Title_BS,/host-growth-conditions_BS,/host-life-stage_BS,/host-sex_BS,/genotype_BS,/Misc._BS,/sub-species_BS,/component-organism_BS,/substrain_BS,/subsource-note_BS,Reference-guided-assembly_AS,/finishing-strategy-(depth-of-coverage)_BS,/sop_BS,/project_type_BS,/source-material-identifiers_BS,/misc_param:-HMP-body-site_BS,/nucleic-acid-extraction_BS,/host-taxonomy-ID_BS,/assembly_BS,/misc_param:-HMP-supersite_BS,/sequencing-method_BS
BaApis_BBC0122.fna,Bartonella apis,Bartonella apis (a-proteobacteria),BaApis_BBC0122_BS.txt,BaApis_BBC0122_AS.txt,ASM200756v1,BBC0122,1686310,SAMN04505061,PRJNA312661,University of Lausanne,2/28/17,na,major,Complete Genome,full,HGAP v. June 2015,150x,SMRT PacBio,Representative Genome,GCA_002007565.1,GCF_002007565.1,yes,SAMN04505061,BBC0122,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN04505061; Sample name: BBC0122",BBC0122,5-Dec-14,gut microbiome,gut of honey bee,gut,Switzerland: Lausanne,Apis mellifera,PMID: 26537852,46.52 N 6.58 E,1,PMID: 26537852,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BaApis_BBC0178.fna,Bartonella apis,Bartonella apis (a-proteobacteria),BaApis_BBC0178_BS.txt,BaApis_BBC0178_AS.txt,ASM200748v1,BBC0178,1686310,SAMN04505062,PRJNA312663,University of Lausanne,2/28/17,na,major,Complete Genome,full,HGAP v. 01.07.2015,50x,PacBio,N/A,GCA_002007485.1,GCF_002007485.1,yes,SAMN04505062,BBC0178,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN04505062; Sample name: BBC0178",BBC0178,12-Aug-14,gut microbiome,gut of honey bee,gut,Switzerland: Lausanne,Apis mellifera,PMID: 26537852,46.52 N 6.58 E,1,PMID: 26537852,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BaApis_BBC0244.fna,Bartonella apis,Bartonella apis (a-proteobacteria),BaApis_BBC0244_BS.txt,BaApis_BBC0244_AS.txt,ASM200750v1,BBC0244,1686310,SAMN04505063,PRJNA312664,University of Lausanne,2/28/17,na,major,Complete Genome,full,HGAP v. 01.07.2015,75x,PacBio,N/A,GCA_002007505.1,GCF_002007505.1,yes,SAMN04505063,BBC0244,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN04505063; Sample name: BBC0244",BBC0244,12-Aug-14,gut microbiome,gut of honey bee,gut,Switzerland: Lausanne,Apis mellifera,PMID: 26537852,46.52 N 6.58 E,1,PMID: 26537852,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BaApis_PEB0122.fna,Bartonella apis,Bartonella apis (a-proteobacteria),BaApis_PEB0122_BS.txt,BaApis_PEB0122_AS.txt,ASM195207v1,PEB0122,1686310,SAMN04505058,PRJNA312665,University of Lausanne,1/13/17,na,major,Contig,full,SPAdes v. May-2015,100.0x,Illumina MiSeq,N/A,GCA_001952075.1,GCF_001952075.1,yes,SAMN04505058,PEB0122,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN04505058; Sample name: PEB0122",PEB0122,1-Jun-11,gut microbiome,gut of honey bee,gut,"USA: West Haven, CT",Apis mellifera (Western honey bee),PMID: 26537852,41.26 N 72.99 W,1,PMID: 26537852,LXYU01,yes,assembly from type material,type strain of Bartonella apis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BaApis_PEB0149.fna,Bartonella apis,Bartonella apis (a-proteobacteria),BaApis_PEB0149_BS.txt,BaApis_PEB0149_AS.txt,ASM195206v1,PEB0149,1686310,SAMN04505059,PRJNA312666,University of Lausanne,1/13/17,na,major,Contig,full,SPAdes v. May-2015,100.0x,Illumina MiSeq,N/A,GCA_001952065.1,GCF_001952065.1,yes,SAMN04505059,PEB0149,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN04505059; Sample name: PEB0149",PEB0149,1-Jun-11,gut microbiome,gut of honey bee,gut,"USA: West Haven, CT",Apis mellifera (Western honey bee),PMID: 26537852,41.26 N 72.99 W,1,PMID: 26537852,LXYT01,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BaApis_PEB0150.fna,Bartonella apis,Bartonella apis (a-proteobacteria),BaApis_PEB0150_BS.txt,BaApis_PEB0150_AS.txt,ASM195204v1,PEB0150,1686310,SAMN04505060,PRJNA312667,University of Lausanne,1/13/17,na,major,Contig,full,SPAdes v. May-2015,150.0x,Illumina MiSeq,N/A,GCA_001952045.1,GCF_001952045.1,yes,SAMN04505060,PEB0150,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN04505060; Sample name: PEB0150",PEB0150,1-Jun-11,gut microbiome,gut of honey bee,gut,"USA: West Haven, CT",Apis mellifera (Western honey bee),PMID: 26537852,41.26 N 72.99 W,1,PMID: 26537852,LXYS01,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BiAsteroides_1460B.fna,Bifidobacterium asteroides,Bifidobacterium asteroides (high GC Gram+),BiAsteroides_1460B_BS.txt,BiAsteroides_1460B_AS.txt,ASM284689v1,1460B,1684,SAMN07731035,PRJNA412868,University of Parma,12/21/17,na,major,Contig,full,Mira v. 4.0.2,104.83x,Illumina MiSeq,N/A,GCA_002846895.1,GCF_002846895.1,yes,SAMN07731035,Bifidobacterium asteroides 1460B,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN07731035; Sample name: Bifidobacterium asteroides 1460B",1460B,unknown,unknown,unknown,Hindgut,Italy,honeybee,unknown,unknown,not applicable,missing,PCHJ01,yes,N/A,N/A,hindgut,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BiAsteroides_Bin2.fna,Bifidobacterium asteroides,Bifidobacterium asteroides (high GC Gram+),BiAsteroides_Bin2_BS.txt,BiAsteroides_Bin2_AS.txt,ASM96718v1,Bin2,1684,SAMN03269133,PRJNA257133,Uppsala university,3/31/15,na,major,Scaffold,full,Newbler v. 2.6,103.0x,454; Illumina MiSeq,N/A,GCA_000967185.1,GCF_000967185.1,yes,SAMN03269133,Bin2,SRS810382,Bin2,2008,N/A,N/A,N/A,Sweden: Jonstorp,Apis mellifera,N/A,N/A,N/A,N/A,JWME01,yes,N/A,N/A,gut,"Alejandra Vasquez, Tobias Olofsson",cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BiAsteroides_Bin7.fna,Bifidobacterium asteroides,Bifidobacterium asteroides (high GC Gram+),BiAsteroides_Bin7_BS.txt,BiAsteroides_Bin7_AS.txt,ASM96726v1,Bin7,1684,SAMN03269159,PRJNA257134,Uppsala university,3/31/15,na,major,Scaffold,full,Newbler v. 2.6,88.0x,454; Illumina MiSeq,N/A,GCA_000967265.1,GCF_000967265.1,yes,SAMN03269159,Bin7,SRS810384,Bin7,2008,N/A,N/A,N/A,Sweden: Jonstorp,Apis mellifera,N/A,N/A,N/A,N/A,JWMF01,yes,N/A,N/A,gut,"Alejandra Vasquez, Tobias Olofsson",cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BiAsteroides_DSM20089_2.fna,Bifidobacterium asteroides DSM 20089,Bifidobacterium asteroides DSM 20089 (high GC Gram+),BiAsteroides_DSM20089_2_BS.txt,BiAsteroides_DSM20089_2_AS.txt,ASM271586v1,DSM 20089,1437594,SAMN05912982,PRJNA348626,Kyungpook National University,10/25/17,na,major,Complete Genome,full,SMRT analysis 2.3 v. HGAP protocol 2,missing,PacBio,N/A,GCA_002715865.1,GCF_002715865.1,yes,SAMN05912982,BADSM20089,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05912982; Sample name: BADSM20089",DSM 20089,1969,N/A,N/A,N/A,Italy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,assembly from type material,type strain of Bifidobacterium asteroides,hindgut of honeybee,N/A,single cell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
