"","Bacterial Host","Phage_Sequence","Protein_ID","Classified_by_EggNOG_or_PHROGS","COGG_Number","EggNOG_Annotation","PHROGS_Number","PHROGS_Annotation","AMG_or_Moron"
"1","Paenibacillus larvae","AARF01000085.1||full","AARF01000085.1||full__00003","S","4QDAG","","-","-","-"
"2","Paenibacillus larvae","AARF01000085.1||full","AARF01000085.1||full__00009","S","4QGFE","","-","-","-"
"3","Paenibacillus larvae","AARF01000085.1||full","AARF01000085.1||full__00008","S","4QAIJ","C-5 cytosine-specific DNA methylase","-","-","-"
"4","Paenibacillus larvae","AARF01000085.1||full","AARF01000085.1||full__00007","S","COG1694","Mazg nucleotide pyrophosphohydrolase","-","-","-"
"5","Paenibacillus larvae","AARF01000085.1||full","AARF01000085.1||full__00010","Ph","-","-","phrog_19","DnaB-like replicative helicase","-"
"6","Paenibacillus larvae","AARF01000085.1||full","AARF01000085.1||full__00002","Ph","-","-","phrog_248","transcriptional activator","-"
"7","Paenibacillus larvae","AARF01000085.1||full","AARF01000085.1||full__00005","S","4QBPM","","-","-","-"
"8","Paenibacillus larvae","AARF01000085.1||full","AARF01000085.1||full__00004","Ph","-","-","phrog_159","RuvC-like Holliday junction resolvase","-"
"9","Paenibacillus larvae","AARF01000085.1||full","AARF01000085.1||full__00001","Ph","-","-","phrog_497","toxin-antitoxin system HicB-like","Unspecified Moron"
"10","Paenibacillus larvae","AARF01000085.1||full","AARF01000085.1||full__00006","S","4QAXV","YopX protein","-","-","-"
"11","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00027","0","","","-","-","-"
"12","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00017","S","33MIG","unknown","-","-","-"
"13","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00023","Ph","-","-","phrog_6","baseplate wedge subunit","-"
"14","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00029","Ph","-","-","phrog_2429","involved in bacteriocin production or immunity","Unspecified Moron"
"15","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00021","S","33B66","Protein of unknown function (DUF2577)","-","-","-"
"16","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00028","S","2ZQ0A","unknown","-","-","-"
"17","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00008","Ph","-","-","phrog_132","head-tail adaptor","-"
"18","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00010","Ph","-","-","phrog_5","tail completion or Neck1 protein","-"
"19","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00003","Ph","-","-","phrog_115","minor head protein","-"
"20","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00001","Ph","-","-","phrog_3717","terminase large subunit","-"
"21","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00020","Ph","-","-","phrog_400","tail protein","-"
"22","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00030","Ph","-","-","phrog_3088","amidase","-"
"23","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00012","S","32FG6","unknown","-","-","-"
"24","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00011","S","32YNZ","unknown","-","-","-"
"25","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00009","Ph","-","-","phrog_615","head-tail adaptor","-"
"26","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00034","O","arCOG01308","Cell division protein 48, CDC48, domain 2","-","-","-"
"27","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00024","Ph","-","-","phrog_521","tail protein","-"
"28","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00006","Ph","-","-","phrog_29","major head protein","-"
"29","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00019","Ph","-","-","phrog_380","endolysin","-"
"30","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00022","Ph","-","-","phrog_120","baseplate wedge subunit","-"
"31","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00018","Ph","-","-","phrog_1068","tail length tape measure protein","-"
"32","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00005","Ph","-","-","phrog_909","major head protein","-"
"33","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00015","Ph","-","-","phrog_365","tail protein","-"
"34","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00033","Ph","-","-","phrog_1299","holin","-"
"35","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00025","S","33NU8","unknown","-","-","-"
"36","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00031","S","2Z99H","unknown","-","-","-"
"37","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00013","Ph","-","-","phrog_279","tail sheath","-"
"38","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00026","S","KOG1072","protein ubiquitination","-","-","-"
"39","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00014","Ph","-","-","",NA,"-"
"40","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00016","Ph","-","-","phrog_389","tail protein XkdN-like","-"
"41","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00002","Ph","-","-","phrog_64","portal protein","-"
"42","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00032","S","4QCCA","","-","-","-"
"43","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00004","Ph","-","-","phrog_194","head scaffolding protein","-"
"44","Paenibacillus larvae","AARF01000119.1||full","AARF01000119.1||full__00007","0","","","-","-","-"
"45","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00023","S","2ZHNQ","unknown","-","-","-"
"46","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00020","Ph","-","-","phrog_10285","DNA polymerase","-"
"47","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00011","0","","","-","-","-"
"48","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00010","Ph","-","-","phrog_135","dUTPase","-"
"49","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00018","Ph","-","-","phrog_1706","CRISPR/Cas system associated","-"
"50","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00014","Ph","-","-","phrog_86","ribonucleoside diphosphate reductase small subunit","-"
"51","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00005","S","344MB","unknown","-","-","-"
"52","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00012","0","","","-","-","-"
"53","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00003","Ph","-","-","phrog_85","thymidylate synthase","-"
"54","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00013","0","","","-","-","-"
"55","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00002","S","344MR","unknown","-","-","-"
"56","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00021","0","","","-","-","-"
"57","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00024","S","4QE40","","-","-","-"
"58","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00022","Ph","-","-","phrog_12241","DNA polymerase","-"
"59","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00004","0","","","-","-","-"
"60","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00007","0","","","-","-","-"
"61","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00001","S","4QH1I","kinase activity","-","-","-"
"62","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00006","0","","","-","-","-"
"63","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00017","Ph","-","-","phrog_159","RuvC-like Holliday junction resolvase","-"
"64","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00009","S","307HJ","unknown","-","-","-"
