protein	nogbit	nogcat	nogdomain	nogevalue	noghit	nogname
AARF01000085.1||full__00001	99.4	S	Virus	1.50E-28	4QF0X	Pfam:HicB_lk_antitox
AARF01000085.1||full__00002	234	S	Virus	7.20E-70	4QCRW	
AARF01000085.1||full__00003	333.6	S	Virus	1.10E-100	4QDAG	
AARF01000085.1||full__00004	166.6	S	Bacteria	4.90E-49	324KK	unknown
AARF01000085.1||full__00005	183.2	S	Virus	7.40E-55	4QBPM	
AARF01000085.1||full__00006	96.4	S	Virus	1.30E-27	4QAXV	YopX protein
AARF01000085.1||full__00007	64.5	S	Bacteria	1.60E-17	COG1694	Mazg nucleotide pyrophosphohydrolase
AARF01000085.1||full__00008	182.4	S	Virus	1.20E-53	4QAIJ	C-5 cytosine-specific DNA methylase
AARF01000085.1||full__00009	218.2	S	Virus	1.30E-65	4QGFE	
AARF01000085.1||full__00010	239.9	L	Eukarya	3.40E-71	2QRXQ	DnaB-like helicase C terminal domain
AARF01000119.1||full__00001	410.2	S	Virus	6.80E-123	4QG21	Phage terminase large subunit
AARF01000119.1||full__00002	597.8	S	Bacteria	1.20E-179	2Z7ZB	Portal protein
AARF01000119.1||full__00003	147.4	S	Virus	9.60E-43	4QC5Z	Phage Mu protein F like protein
AARF01000119.1||full__00004	200.6	S	Bacteria	1.80E-59	32H0P	minor structural
AARF01000119.1||full__00005	146.6	S	Bacteria	3.20E-43	33DP1	unknown
AARF01000119.1||full__00006	497.6	S	Bacteria	1.20E-149	2ZCHY	Phage major capsid protein E
AARF01000119.1||full__00008	132.5	S	Bacteria	5.90E-39	32ST4	unknown
AARF01000119.1||full__00009	145.8	S	Bacteria	4.90E-43	32SVF	unknown
AARF01000119.1||full__00010	190.6	S	Bacteria	9.10E-57	31HE4	"Bacteriophage HK97-gp10, putative tail-component"
AARF01000119.1||full__00011	160	S	Bacteria	3.10E-47	32YNZ	unknown
AARF01000119.1||full__00012	54.4	S	Bacteria	8.50E-15	32FG6	unknown
AARF01000119.1||full__00013	572.3	S	Bacteria	6.00E-172	2Z8I6	Pfam Phage tail sheath protein
AARF01000119.1||full__00014	47.1	S	Bacteria	1.70E-12	32R8A	Phage tail tube protein
AARF01000119.1||full__00015	132.1	S	Bacteria	1.10E-38	2ZCKJ	Phage tail tube protein
AARF01000119.1||full__00016	205.8	S	Bacteria	2.20E-61	334J1	"Phage XkdN-like tail assembly chaperone protein, TAC"
AARF01000119.1||full__00017	124.7	S	Bacteria	9.20E-37	33MIG	unknown
AARF01000119.1||full__00018	592.2	S	Virus	1.50E-177	4QBJU	
AARF01000119.1||full__00019	55.9	S	Bacteria	4.20E-15	33C6C	unknown
AARF01000119.1||full__00020	214.1	S	Eukarya	3.70E-63	2SSGJ	unknown
AARF01000119.1||full__00021	92.8	S	Bacteria	1.20E-26	33B66	Protein of unknown function (DUF2577)
AARF01000119.1||full__00022	81.6	S	Bacteria	4.20E-23	31F2E	Protein of unknown function (DUF2634)
AARF01000119.1||full__00023	190.1	S	Virus	6.90E-56	4QAMU	Baseplate J-like protein
AARF01000119.1||full__00024	89.1	S	Virus	2.50E-25	4QAYF	Uncharacterized protein conserved in bacteria (DUF2313)
AARF01000119.1||full__00025	124.8	S	Bacteria	1.30E-36	33NU8	unknown
AARF01000119.1||full__00026	213.6	S	Eukarya	5.70E-63	KOG1072	protein ubiquitination
AARF01000119.1||full__00028	125.2	S	Bacteria	7.50E-37	2ZQ0A	unknown
AARF01000119.1||full__00029	185.4	S	Virus	1.60E-55	4QDII	Pfam:Holin_BhlA
AARF01000119.1||full__00030	115.4	M	Bacteria	2.40E-33	COG5632	N-Acetylmuramoyl-L-alanine amidase
AARF01000119.1||full__00031	75.3	S	Bacteria	5.40E-21	2Z99H	unknown
AARF01000119.1||full__00032	115.2	S	Virus	1.50E-33	4QCCA	
AARF01000119.1||full__00033	150.5	S	Virus	1.00E-44	4QCKR	
AARF01000119.1||full__00034	156.2	O	Archaea	1.50E-45	arCOG01308	"Cell division protein 48, CDC48, domain 2"
AARF01000123.1||full__00001	173.5	S	Virus	3.80E-51	4QH1I	kinase activity
AARF01000123.1||full__00002	224.8	S	Bacteria	2.10E-66	344MR	unknown
AARF01000123.1||full__00003	81.2	F	Bacteria	1.00E-22	COG1351	"Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor, and NAD(P)H and FADH(2) as the reductant"
AARF01000123.1||full__00005	172	S	Bacteria	5.00E-51	344MB	unknown
AARF01000123.1||full__00007	21	S	Bacteria	0.00034	33GZ2	unknown
AARF01000123.1||full__00009	104.1	S	Bacteria	2.60E-30	307HJ	unknown
AARF01000123.1||full__00010	196.5	F	Bacteria	3.70E-58	COG0756	dUTP diphosphatase activity
AARF01000123.1||full__00011	21.2	S	Archaea	0.0002	arCOG06113	unknown
AARF01000123.1||full__00014	270	S	Virus	2.20E-80	4QC2G	"Ribonucleotide reductase, small chain"
AARF01000123.1||full__00015	598.9	S	Virus	1.20E-179	4QAXQ	"Ribonucleotide reductase, barrel domain"
AARF01000123.1||full__00016	19.1	S	Eukarya	0.00088	2TJA1	unknown
AARF01000123.1||full__00017	179.4	S	Bacteria	2.40E-53	2ZX4A	Crossover junction endodeoxyribonuclease RuvC
AARF01000123.1||full__00018	441.4	S	Bacteria	1.60E-132	31R99	unknown
AARF01000123.1||full__00019	126.3	L	Bacteria	1.30E-36	COG2176	DNA-directed DNA polymerase activity
AARF01000123.1||full__00020	201.7	L	Bacteria	2.20E-59	COG0749	"In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity"
AARF01000123.1||full__00022	99.9	S	Virus	1.50E-28	4QAKM	DNA polymerase family A
AARF01000123.1||full__00023	108.9	S	Bacteria	2.60E-31	2ZHNQ	unknown
AARF01000123.1||full__00024	37.3	S	Virus	1.90E-09	4QE40	
AARF01000247.1||full__00001	108.8	S	Bacteria	3.00E-31	30CG0	unknown
AARF01000247.1||full__00003	182.6	S	Bacteria	2.50E-54	33IDB	unknown
AARF01000247.1||full__00004	94.3	K	Bacteria	3.00E-27	334GS	Transcriptional regulator
AARF01000247.1||full__00007	187.6	S	Virus	3.10E-55	4QAZY	N-acetylmuramoyl-L-alanine amidase
AARF01000247.1||full__00008	151.5	S	Bacteria	3.20E-44	COG4824	toxin secretion phage lysis holin
AARF01000247.1||full__00009	58.4	S	Bacteria	6.20E-16	32KD7	XkdW protein
AARF01000247.1||full__00010	112.5	S	Bacteria	4.00E-32	COG4926	Phage minor structural protein
AARF01000247.1||full__00011	228.9	S	Virus	1.40E-67	4QBF8	Phage tail protein
ADFW01000001.1||0_partial_1__00002	55.7	S	Bacteria	4.30E-15	33GYU	unknown
ADFW01000001.1||0_partial_1__00003	552.7	S	Bacteria	5.90E-166	COG2719	SpoVR family
ADFW01000001.1||0_partial_1__00004	403.4	S	Virus	1.40E-120	4QBIH	recombinase activity
ADFW01000001.1||0_partial_1__00005	93.4	K	Bacteria	2.20E-26	COG2932	Transcriptional regulator
ADFW01000001.1||0_partial_1__00006	59.9	K	Bacteria	1.40E-16	33B2D	Helix-turn-helix XRE-family like proteins
ADFW01000001.1||0_partial_1__00008	99.3	S	Virus	8.20E-29	4QC3C	
ADFW01000001.1||0_partial_1__00009	118.2	S	Virus	1.40E-34	4QEAN	
ADFW01000001.1||0_partial_1__00010	52.8	S	Bacteria	3.10E-14	306F8	unknown
ADFW01000001.1||0_partial_1__00011	59.8	S	Virus	2.30E-16	4QE9S	
ADFW01000001.1||0_partial_1__00012	509	S	Virus	2.10E-152	4QG2D	
ADFW01000001.1||0_partial_1__00013	162.5	S	Virus	2.20E-48	4QD9Q	
ADFW01000001.1||0_partial_1__00014	128.9	L	Bacteria	1.80E-37	COG3723	"Recombinational DNA repair protein, rece pathway"
ADFW01000001.1||0_partial_1__00015	230.7	J	Archaea	1.50E-68	arCOG00502	PFAM beta-lactamase domain protein
ADFW01000001.1||0_partial_1__00016	255.3	S	Virus	8.90E-77	4QAII	
ADFW01000001.1||0_partial_1__00017	210.1	S	Bacteria	4.10E-62	33QUR	unknown
ADFW01000001.1||0_partial_1__00018	270.5	L	Eukarya	2.00E-80	2QRXQ	DnaB-like helicase C terminal domain
ADFW01000001.1||0_partial_1__00019	205.3	S	Virus	1.40E-61	4QGFE	
ADFW01000001.1||0_partial_1__00020	171.6	S	Bacteria	1.70E-50	33I1I	unknown
ADFW01000001.1||0_partial_1__00021	22.9	S	Bacteria	7.20E-05	31SZK	unknown
ADFW01000001.1||0_partial_1__00023	84.7	S	Bacteria	4.50E-24	33ART	YopX protein
ADFW01000001.1||0_partial_1__00024	19.4	S	Bacteria	0.0006	2ZHJM	unknown
ADFW01000001.1||0_partial_1__00025	132.7	S	Virus	4.20E-39	4QBPM	
ADFW01000001.1||0_partial_1__00026	163.9	S	Bacteria	3.30E-48	324KK	unknown
ADFW01000001.1||0_partial_1__00027	42.9	S	Bacteria	4.00E-11	334FK	Domain of unknown function (DUF5405)
ADFW01000001.1||0_partial_1__00028	308.2	S	Virus	7.60E-93	4QDAG	
ADFW01000001.1||0_partial_1__00029	234	S	Virus	7.60E-70	4QCRW	
ADFW01000001.1||0_partial_1__00030	126.1	S	Bacteria	4.20E-37	33BWX	unknown
ADFW01000001.1||0_partial_1__00031	105.7	S	Virus	1.70E-30	4QF0X	Pfam:HicB_lk_antitox
ADFW01000001.1||0_partial_1__00032	122.8	S	Bacteria	5.10E-36	2ZWHH	"HicA toxin of bacterial toxin-antitoxin,"
ADFW01000001.1||0_partial_1__00033	136.8	L	Bacteria	9.40E-40	COG0863	Belongs to the N(4) N(6)-methyltransferase family
ADFW01000001.1||0_partial_1__00034	267.4	S	Virus	3.70E-80	4QEJM	
ADFW01000001.1||0_partial_1__00035	680	S	Bacteria	3.50E-204	COG5525	Phage terminase large subunit (GpA)
ADFW01000001.1||0_partial_1__00036	111.7	S	Bacteria	1.10E-32	30W2N	unknown
ADFW01000001.1||0_partial_1__00037	541.4	S	Virus	2.00E-162	4QAZJ	"Phage portal protein, lambda family"
ADFW01000001.1||0_partial_1__00038	230.8	OU	Bacteria	4.30E-68	COG0740	serine-type endopeptidase activity
ADFW01000001.1||0_partial_1__00039	133.1	S	Bacteria	4.50E-39	32ZP7	Bacteriophage lambda head decoration protein D
ADFW01000001.1||0_partial_1__00040	400.2	S	Bacteria	6.60E-120	2Z8WK	major capsid protein E
ADFW01000001.1||0_partial_1__00041	23.6	S	Virus	3.60E-05	4QDN4	
ADFW01000001.1||0_partial_1__00042	92.7	S	Bacteria	1.60E-26	32XBM	"Psort location Cytoplasmic, score"
ADFW01000001.1||0_partial_1__00043	188.6	S	Bacteria	9.50E-56	32SY7	Prophage minor tail protein Z (GPZ)
ADFW01000001.1||0_partial_1__00044	214.9	S	Virus	5.30E-64	4QFHJ	
ADFW01000001.1||0_partial_1__00045	75.3	S	Bacteria	2.10E-21	33A8W	unknown
ADFW01000001.1||0_partial_1__00046	165.7	S	Bacteria	1.30E-48	COG3497	tail sheath protein
ADFW01000001.1||0_partial_1__00047	169.3	S	Virus	5.50E-50	4QGAP	Phage tail tube protein FII
ADFW01000001.1||0_partial_1__00048	119	S	Bacteria	8.00E-35	338JU	"Phage tail assembly chaperone proteins, E, or 41 or 14"
ADFW01000001.1||0_partial_1__00049	196.2	S	Virus	7.20E-58	4QFF1	
ADFW01000001.1||0_partial_1__00050	82.2	S	Bacteria	1.60E-23	33G10	unknown
ADFW01000001.1||0_partial_1__00051	486.9	S	Virus	3.90E-146	4QC7J	
