phage_seqname	bact_access	dsDNAphage	ssDNA	RNA	NCLDV	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
JOPB01000018.1||full	JOPB01000018.1	0.94	0.013	0	0.14	0.307	0.94	dsDNAphage	43748	13	50	10.3
NARX01000149.1||full	NARX01000149.1	1	0.66	0.12	0.807	0.267	1	dsDNAphage	4887	4	100	0
LZGS01000030.1||full	LZGS01000030.1	0.567	0.367	0.4	0.96	0.593	0.96	NCLDV	3890	0	33.3	0
LZHG01000002.1||full	LZHG01000002.1	0.96	0.48	0.39	0.607	0.793	0.96	dsDNAphage	3891	1	50	0
LZGU01000067.1||full	LZGU01000067.1	0.513	0.027	0.155	0.333	0.013	0.513	dsDNAphage	6281	0	10	0
LZHL01000078.1||full	LZHL01000078.1	0.573	0.093	0.025	0.693	0.073	0.693	NCLDV	3886	0	33.3	0
MCIU01000072.1||full	MCIU01000072.1	0.933	0.687	0.235	0.993	1	1	lavidaviridae	2330	0	33.3	0
LZGJ01000026.1||full	LZGJ01000026.1	0.547	0.86	0.23	0.507	0.887	0.887	lavidaviridae	2169	0	100	0
QUBO01000013.1||full	QUBO01000013.1	0.453	0.027	0.01	0.527	0.32	0.527	NCLDV	9956	0	25	0
QUBO01000010.1||full	QUBO01000010.1	0.993	0.027	0	0.133	0.033	0.993	dsDNAphage	43827	9	46.8	1.6
QUBN01000035.1||full	QUBN01000035.1	0.427	0.087	0.23	0.727	0.193	0.727	NCLDV	6715	0	14.3	0
VCSE01000020.1||full	VCSE01000020.1	1	0.027	0.015	0.32	0.093	1	dsDNAphage	14793	2	35.7	0
JAAEDZ010000007.1||full	JAAEDZ010000007.1	0.993	0.007	0	0.047	0.013	0.993	dsDNAphage	40663	11	56.5	8.1
JAAEEB010000013.1||full	JAAEEB010000013.1	1	0.047	0.01	0.473	0.04	1	dsDNAphage	36541	13	66.7	1.9
CP019718.1||full	CP019718.1	0.987	0.007	0	0.027	0.027	0.987	dsDNAphage	44919	3	28.8	4.1
MDVH01000009.1||full	MDVH01000009.1	0.827	0.213	0.185	0.447	0.093	0.827	dsDNAphage	6903	0	18.8	0
MDVI01000012.1||full	MDVI01000012.1	0.827	0.213	0.185	0.447	0.093	0.827	dsDNAphage	6903	0	18.8	0
MDUY01000043.1||full	MDUY01000043.1	0.62	0.827	0.295	nan	0.673	0.827	ssDNA	1876	0	66.7	0
JACG01000064.1||full	JACG01000064.1	0.42	0.8	0.48	0.853	0.687	0.853	NCLDV	2478	0	33.3	0
LXYU01000005.1||full	LXYU01000005.1	0.507	0	0.005	0.087	0.273	0.507	dsDNAphage	12730	0	6.2	0
PCHJ01000014.1||full	PCHJ01000014.1	0.44	0.16	0.26	0.673	1	1	lavidaviridae	6576	0	12.5	0
PCHJ01000023.1||full	PCHJ01000023.1	0.273	0.013	0.12	0.76	0.287	0.76	NCLDV	5831	0	14.3	0
KQ033861.1||full	KQ033861.1	0.38	0.147	0.145	0.673	0.073	0.673	NCLDV	4277	0	20	0
JDTU01000021.1||full	JDTU01000021.1	0.807	0.2	0.075	0.127	0.293	0.807	dsDNAphage	3189	0	14.3	0
QGLH01000002.1||full	QGLH01000002.1	0.433	0.333	0.05	0.667	0.473	0.667	NCLDV	5070	0	16.7	0
QGLH01000006.1||full	QGLH01000006.1	0.513	0.047	0.665	0.413	0.453	0.665	RNA	4181	0	20	0
QGLJ01000003.1||full	QGLJ01000003.1	0.453	0.313	0.065	0.66	0.48	0.66	NCLDV	5070	0	16.7	0
QGLJ01000004.1||full	QGLJ01000004.1	0.2	0	0.01	0.66	0.133	0.66	NCLDV	3225	0	33.3	0
QGLJ01000008.1||full	QGLJ01000008.1	0.527	0.02	0.7	0.413	0.46	0.7	RNA	4337	0	20	0
QGLK01000002.1||full	QGLK01000002.1	0.547	0.3	0.04	0.4	0.46	0.547	dsDNAphage	4140	0	16.7	0
QGLK01000007.1||full	QGLK01000007.1	0.147	0.007	0.01	0.653	0.067	0.653	NCLDV	3459	0	25	0
QGLL01000007.1||full	QGLL01000007.1	0.72	0.373	0.11	0.64	0.607	0.72	dsDNAphage	9451	0	25	0
WKKW01000011.1||full	WKKW01000011.1	0.447	0.313	0.065	0.667	0.48	0.667	NCLDV	4998	0	16.7	0
WKKW01000012.1||full	WKKW01000012.1	0.447	0.007	0.79	0.32	0.487	0.79	RNA	4661	0	20	0
WKKW01000013.1||full	WKKW01000013.1	nan	nan	nan	0.54	nan	0.54	NCLDV	2117	0	33.3	0
VMHJ01000007.1||full	VMHJ01000007.1	0.353	0.027	0.06	0.74	0.24	0.74	NCLDV	7221	0	11.1	0
WHNS01000008.1||full	WHNS01000008.1	0.973	0	0	0.093	0	0.973	dsDNAphage	29504	8	39	24.4
WHNS01000009.1||full	WHNS01000009.1	0.967	0.033	0.03	0.033	0.173	0.967	dsDNAphage	3602	1	50	16.7
AGFR01000019.1||full	AGFR01000019.1	0.9	0.28	0.175	0.367	0.247	0.9	dsDNAphage	1621	1	33.3	0
AGFR01000018.1||full	AGFR01000018.1	0.973	0.013	0	0.073	0.033	0.973	dsDNAphage	35405	5	30.4	6.5
AGFR01000015.1||full	AGFR01000015.1	0.907	0.227	0.23	0.22	0.127	0.907	dsDNAphage	2818	0	28.6	0
AGFR01000005.1||full	AGFR01000005.1	0.92	0.007	0	0.28	0.153	0.92	dsDNAphage	56385	12	39.4	15.5
AGFR01000004.1||full	AGFR01000004.1	0.92	0.3	0.185	0.34	0.247	0.92	dsDNAphage	1621	1	33.3	0
JOPB01000009.1||full	JOPB01000009.1	0.433	0.5	0.065	0.733	0.62	0.733	NCLDV	1613	0	33.3	0
JOPB01000014.1||full	JOPB01000014.1	1	0.487	0.02	0.96	0.56	1	dsDNAphage	12257	5	66.7	0
JOPB01000015.1||full	JOPB01000015.1	1	0.447	0.18	0.853	0.533	1	dsDNAphage	10421	4	54.5	0
JOPB01000047.1||full	JOPB01000047.1	0.107	0	0	0.747	0.127	0.747	NCLDV	10527	0	30	10
JOPB01000048.1||full	JOPB01000048.1	0.987	0.013	0.01	0.147	0.067	0.987	dsDNAphage	5717	2	60	20
JOPB01000050.1||full	JOPB01000050.1	0.813	0	0.02	0.12	0.16	0.813	dsDNAphage	5384	1	22.2	11.1
QGLT01000007.1||full	QGLT01000007.1	0.753	0	0	0.187	0.08	0.753	dsDNAphage	26305	2	33.3	23.8
QGLT01000011.1||full	QGLT01000011.1	0.787	0.76	0.385	0.787	0.313	0.787	dsDNAphage	3164	0	66.7	0
WNID01000002.1||full	WNID01000002.1	1	0.927	0.36	0.767	0.92	1	dsDNAphage	3383	1	66.7	0
WNID01000003.1||full	WNID01000003.1	1	0.833	0.2	0.993	0.66	1	dsDNAphage	3278	1	66.7	0
