prokka_locus_tag,phage_seq,protein_num,length_bp_prok,gene_prok,EC_number+prok,phrog_name,phrog_num,COG_prok,product_prok
AARF01000085.1||full__00001,AARF01000085.1||full,AARF01000085.1||full_1,423,,phrog_497,phrog,497,,toxin-antitoxin system HicB-like protein
AARF01000085.1||full__00002,AARF01000085.1||full,AARF01000085.1||full_2,441,,phrog_248,phrog,248,,transcriptional activator
AARF01000085.1||full__00003,AARF01000085.1||full,AARF01000085.1||full_3,459,,phrog_5494,phrog,5494,,hypothetical protein
AARF01000085.1||full__00004,AARF01000085.1||full,AARF01000085.1||full_4,558,,phrog_159,phrog,159,,RuvC-like Holliday junction resolvase
AARF01000085.1||full__00005,AARF01000085.1||full,AARF01000085.1||full_5,216,,phrog_6998,phrog,6998,,hypothetical protein
AARF01000085.1||full__00006,AARF01000085.1||full,AARF01000085.1||full_6,384,,phrog_98,phrog,98,,hypothetical protein
AARF01000085.1||full__00007,AARF01000085.1||full,AARF01000085.1||full_7,306,,phrog_1992,phrog,1992,,MazG-like pyrophosphatase
AARF01000085.1||full__00008,AARF01000085.1||full,AARF01000085.1||full_8,1053,,phrog_363,phrog,363,,DNA methyltransferase
AARF01000085.1||full__00009,AARF01000085.1||full,AARF01000085.1||full_9,306,,phrog_6868,phrog,6868,,hypothetical protein
AARF01000085.1||full__00010,AARF01000085.1||full,AARF01000085.1||full_10,1164,,phrog_19,phrog,19,,DnaB-like replicative helicase
AARF01000119.1||full__00001,AARF01000119.1||full,AARF01000119.1||full_1,1272,,phrog_3717,phrog,3717,,terminase large subunit
AARF01000119.1||full__00002,AARF01000119.1||full,AARF01000119.1||full_2,1464,,phrog_64,phrog,64,,portal protein
AARF01000119.1||full__00003,AARF01000119.1||full,AARF01000119.1||full_3,1020,,phrog_115,phrog,115,,minor head protein
AARF01000119.1||full__00004,AARF01000119.1||full,AARF01000119.1||full_4,624,,phrog_194,phrog,194,,head scaffolding protein
AARF01000119.1||full__00005,AARF01000119.1||full,AARF01000119.1||full_5,357,,phrog_909,phrog,909,,major head protein
AARF01000119.1||full__00006,AARF01000119.1||full,AARF01000119.1||full_6,1047,,phrog_29,phrog,29,,major head protein
